MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.8716,21,5.819512,1.023810,1488,2.555556,37.88,-122.23,3.585
8.3014,37,6.984127,1.023810,496,2.109845,37.86,-122.22,3.521
7.2574,52,8.288136,1.073446,558,2.196554,37.85,-122.24,3.413
5.6431,52,5.817352,1.073059,565,2.181467,37.85,-122.25,3.422
3.8462,52,6.281853,1.081081,625,2.401132,37.85,-122.25,2.697
4.0368,52,4.761658,1.025907,413,2.139896,37.85,-122.25,2.992
3.6591,52,4.931907,0.951362,1094,2.128405,37.84,-122.25,2.414
3.1200,52,4.797529,1.061824,1157,2.771281,37.84,-122.25,2.267
2.0804,42,4.294118,1.117647,1206,2.026891,37.84,-122.26,2.611
3.6912,52,4.970588,0.990196,1551,2.172269,37.84,-122.25,1.815
2.6736,52,5.333333,1.045643,910,2.161290,37.85,-122.26,1.425
3.2705,52,4.595745,1.014184,806,2.120157,37.85,-122.26,1.188
3.0750,52,5.322917,1.015625,1015,2.643229,37.85,-122.26,1.425
2.6736,52,5.333333,1.045643,910,2.161290,37.85,-122.26,1.425
1.9167,52,4.475610,1.024390,697,2.125000,37.85,-122.26,1.575
2.1250,50,4.242424,1.075758,687,2.081818,37.85,-122.26,1.555
2.7750,52,5.939577,1.048338,793,2.395770,37.85,-122.27,1.554
2.1202,52,5.642231,1.076845,648,2.373626,37.85,-122.27,1.587
1.6875,52,5.733333,1.088889,963,2.140000,37.84,-122.26,1.625
1.9028,48,5.832432,1.048649,853,2.204695,37.84,-122.27,1.266
1.3578,40,4.523810,1.107143,409,2.434524,37.84,-122.27,1.475
1.7135,42,4.477273,1.000000,929,2.111364,37.84,-122.27,1.113
1.7250,52,5.096234,1.138075,1227,2.566946,37.84,-122.27,1.139
2.1806,52,5.343657,1.014925,812,2.024938,37.84,-122.27,0.997
2.6000,52,5.238372,1.046512,1018,2.959302,37.84,-122.27,1.359
1.6528,43,4.966667,1.144444,534,2.966667,37.83,-122.28,1.075
1.8080,48,4.728033,1.066946,1102,2.307531,37.83,-122.28,0.962
1.6250,52,4.941935,1.083871,612,2.372093,37.83,-122.28,1.000
